attributes,main_image,id,additional_description,catalog_number
Thread:Standard US Hose Thread|Color:White|Length:2 in.|Width:1.2 in.|Height:5.25 in.|Weight:0.26 lbs.|Material:Chrome Plated Brass|FDA Compliant Material:No|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73343/0703US_1.jpg,2073343,"<p><br>Quick connect coupling with shut-off valve</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Stainless Steel</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.3</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Color:</th>\n                              <td>White</td>\n																\n															</tr>\n                        \n														</table>",0703US
Base Code:7047|Thread:Hygienic (Euro)|Color:Green|Length:10.4 in.|Width:5.5 in.|Height:3.9 in.|Weight:1.06 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessMedium|FDA Compliant Material:Yes|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73299/70472_1.jpg,2073299,"<p><br>The angled shape of this scrubbing broom was designed to clean the area where the wall meets the floor, but also effective for cleaning the floor itself. Its bristles are gentle enough to be used on equipment. It is a popular choice in meat processing facilities, canneries, mills, wineries and breweriesÃÂÃÂ¢ÃÂÃÂÃÂÃÂand generally any moist environment that creates difficult cleaning challenges.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>10.25</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.1</td>\n																\n															</tr>\n                        \n														</table>",70472
"Base Code:7140|Color:Purple|Length:15.4 in.|Width:3.5 in.|Height:3.5 in.|Weight:0.54 lbs.|Material:Polypropylene, Rubber|Block Material: Polypropylene|Blade Material: Rubber|FDA Compliant Material:Yes|Working Temp:-4° F/-20° C|Autoclavable To:250° F/121° C|Brand:Vikan",product_images/20/73715/71408_1.jpg,2073715,"<p><br>Vikan's one-piece, single-blade squeegee has an ultra-hygienic design that minimizes areas for water and food soils to collect.This seamless, one-piece construction is especially effective in areas requiring the highest level of hygiene.The soft and flexible rubber  blade is ideal for removing water or food debris from floors and food contact surfaces.  Hygiene squeegees are a good foundation for any HACCP or food safety program.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>15.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene, Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.57</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Autoclavable:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Country of Origin:</th>\n                              <td>Denmark</td>\n																\n															</tr>\n                        \n														</table>",71408
Base Code:6981MD|Color:MD Blue|Length:37.75 in.|Width:10.25 in.|Height:7.1 in.|Weight:3.53 lbs.|Material:Polypropylene|Additional Material: Semi-Ferrous Additive|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/73432/6981MD3_1.jpg,2073432,"<p><br>Remco one-piece polypropylene shovels are tough, lightweight and hygienic. Molded from FDA-compliant polypropylene, it is a workhorse for moving bulk materials and an integral part of any professional crossÃÂÃÂ¢ÃÂÃÂÃÂÃÂcontamination containment, food safety or HACCP program. Initially developed over 30 years ago, our one-piece shovel doesnÃÂÃÂ¢ÃÂÃÂÃÂÃÂt just meet the standard, it sets the standard. The semi-ferrous additive in this shovel allows for use in conjunction with a metal detectable system. Metal detectable plastic is a lightweight and less costly alternative to stainless steel, and will reduce fatigue for the user. This shovel is popular for meat, dairy, seafood, and poultry processing, as well as commercial fishing and other food handling applications.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>11</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Semi-Ferrous Additive</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>3.7</td>\n																\n															</tr>\n                        \n														</table>",6981MD3
Base Code:6981R|Color:Gray|Length:37.75 in.|Width:10.25 in.|Height:5.9 in.|Weight:2.59 lbs.|Material:Polypropylene|Additional Material: Regrind Material|FDA Compliant Material:No|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/73604/6981RG_1.jpg,2073604,"<p><br>This Remco one-piece polypropylene shovel is tough and lightweight. With a regrind additive, it is a cost-effective option for industrial applications that do not require food grade materials. Initially developed over 30 years ago, our one-piece shovel doesnÃÂÃÂ¢ÃÂÃÂÃÂÃÂt just meet the standard, it sets the standard.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>11</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>No</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Regrind Material</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>2.9</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Color:</th>\n                              <td>Gray</td>\n																\n															</tr>\n                        \n														</table>",6981RG
Base Code:5689|Color:Pink|Length:11.3 in.|Width:9.75 in.|Height:0.5 in.|Weight:0.26 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73718/56891_1.jpg,2073718,"<p><br>This pail lid is useful for preventing spillage of materials. It has a clip system for securing the lid tightly.  Corresponds with part number 5688.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>9.96</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>11.61</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>0.59</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.26</td>\n																\n															</tr>\n                        \n														</table>",56891
Base Code:6981|Color:Pink|Length:37.5 in.|Width:10.2 in.|Height:5.9 in.|Weight:2.6 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/73719/69811_1.jpg,2073719,"<p><br>Remco one-piece polypropylene shovels are tough, lightweight and hygienic. Molded from FDA-compliant polypropylene, it is a workhorse for moving bulk materials and an integral part of any professional crossÃÂÃÂ¢ÃÂÃÂÃÂÃÂcontamination containment, food safety or HACCP program. Initially developed over 30 years ago, our one-piece shovel doesnÃÂÃÂ¢ÃÂÃÂÃÂÃÂt just meet the standard, it sets the standard. This shovel is popular for meat, dairy, seafood, and poultry processing, as well as commercial fishing and other food handling applications.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>11</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>2.9</td>\n																\n															</tr>\n                        \n														</table>",69811
Base Code:3179|Color:Pink|Length:16.4 in.|Width:2.8 in.|Height:4.6 in.|Weight:1.16 lbs.|Bristle StiffnessSoft|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72832/31791_1.jpg,2072832,"<p><br>This fully color-coded medium-bristled floor broom is great for sweeping fine particles, such as flour, in dry areas.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>16.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.2</td>\n																\n															</tr>\n                        \n														</table>",31791
Base Code:3174|Color:Pink|Length:16.1 in.|Width:2.6 in.|Height:4.2 in.|Weight:1.13 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessSoft/Stiff|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72831/31741_1.jpg,2072831,"<p><br />\r\nThis fully color-coded sweeping broom has two types of bristles to pick up every particle. The stiff bristles loosen stubborn dirt, and the soft bristles sweep away loose particles.</p>\r\n\r\n<h5>Specifications</h5>\r\n\r\n<table class=""description-table"">\r\n	<tbody>\r\n		<tr>\r\n			<th>Length (inches):</th>\r\n			<td>16.5</td>\r\n		</tr>\r\n		<tr>\r\n			<th>FDA Compliant Raw Material:</th>\r\n			<td>Yes</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Block Material:</th>\r\n			<td>Polypropylene</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Bristle Material:</th>\r\n			<td>Polyester</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Unit Weight (lbs.):</th>\r\n			<td>1.2</td>\r\n		</tr>\r\n	</tbody>\r\n</table>",31741
Base Code:662|Color:White|Length:24 in.|Width:5.6 in.|Height:2 in.|Weight:1.25 lbs.|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/72772/6624_1.jpg,2072772,"<p><br />\r\nRemco as hazmat squeegees provide an economical solution to chemical clean-up problems. These squeegees are made of chemically resistant polyethylene, and they are tough and cost-effective. The design features a high-density polyethylene block with a low-density polyethylene blade. A hazmat squeegee is an essential piece for any spill kit.</p>\r\n\r\n<h5>Specifications</h5>\r\n\r\n<table class=""description-table"">\r\n	<tbody>\r\n		<tr>\r\n			<th>Length (inches):</th>\r\n			<td>24</td>\r\n		</tr>\r\n		<tr>\r\n			<th>FDA Compliant Raw Material:</th>\r\n			<td>No</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Block Material:</th>\r\n			<td>Polyethylene</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Blade Material:</th>\r\n			<td>Polyethylene</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Unit Weight (lbs.):</th>\r\n			<td>1.2</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Color:</th>\r\n			<td>White</td>\r\n		</tr>\r\n	</tbody>\r\n</table>",6624
Base Code:6982|Color:White|Length:42.5 in.|Width:13.75 in.|Height:6.6 in.|Weight:3.56 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/72752/69825_1.jpg,2072752,"<p><br />\r\nRemco one-piece polypropylene shovels are tough, lightweight and hygienic. Molded from FDA-compliant polypropylene, it is a workhorse for moving bulk materials and an integral part of any professional cross&Atilde;&Acirc;&Atilde;&Acirc;&cent;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;contamination containment, food safety or HACCP program. Initially developed over 30 years ago, our one-piece shovel doesn&Atilde;&Acirc;&Atilde;&Acirc;&cent;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;t just meet the standard, it sets the standard. This shovel is popular for meat, dairy, seafood, and poultry processing, as well as commercial fishing and other food handling applications.</p>\r\n\r\n<h5>Specifications</h5>\r\n\r\n<table class=""description-table"">\r\n	<tbody>\r\n		<tr>\r\n			<th>Width (inches):</th>\r\n			<td>14</td>\r\n		</tr>\r\n		<tr>\r\n			<th>FDA Compliant Raw Material:</th>\r\n			<td>Yes</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Material:</th>\r\n			<td>Polypropylene</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Unit Weight (lbs.):</th>\r\n			<td>4</td>\r\n		</tr>\r\n	</tbody>\r\n</table>",69825
Base Code:6982|Color:Black|Length:42.5 in.|Width:13.75 in.|Height:6.6 in.|Weight:3.56 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/72776/69829_1.jpg,2072776,"<p><br />\r\nRemco one-piece polypropylene shovels are tough, lightweight and hygienic. Molded from FDA-compliant polypropylene, it is a workhorse for moving bulk materials and an integral part of any professional cross&Atilde;&Acirc;&Atilde;&Acirc;&cent;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;contamination containment, food safety or HACCP program. Initially developed over 30 years ago, our one-piece shovel doesn&Atilde;&Acirc;&Atilde;&Acirc;&cent;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;t just meet the standard, it sets the standard. This shovel is popular for meat, dairy, seafood, and poultry processing, as well as commercial fishing and other food handling applications.</p>\r\n\r\n<h5>Specifications</h5>\r\n\r\n<table class=""description-table"">\r\n	<tbody>\r\n		<tr>\r\n			<th>Width (inches):</th>\r\n			<td>14</td>\r\n		</tr>\r\n		<tr>\r\n			<th>FDA Compliant Raw Material:</th>\r\n			<td>Yes</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Material:</th>\r\n			<td>Polypropylene</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Unit Weight (lbs.):</th>\r\n			<td>4</td>\r\n		</tr>\r\n	</tbody>\r\n</table>",69829
Base Code:6981|Color:Orange|Length:37.5 in.|Width:10.2 in.|Height:5.9 in.|Weight:2.6 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/73720/69817_1.jpg,2073720,"<p><br />\r\nRemco one-piece polypropylene shovels are tough, lightweight and hygienic. Molded from FDA-compliant polypropylene, it is a workhorse for moving bulk materials and an integral part of any professional cross&Atilde;&Acirc;&Atilde;&Acirc;&cent;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;contamination containment, food safety or HACCP program. Initially developed over 30 years ago, our one-piece shovel doesn&Atilde;&Acirc;&Atilde;&Acirc;&cent;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;t just meet the standard, it sets the standard. This shovel is popular for meat, dairy, seafood, and poultry processing, as well as commercial fishing and other food handling applications.</p>\r\n\r\n<h5>Specifications</h5>\r\n\r\n<table class=""description-table"">\r\n	<tbody>\r\n		<tr>\r\n			<th>Width (inches):</th>\r\n			<td>11</td>\r\n		</tr>\r\n		<tr>\r\n			<th>FDA Compliant Raw Material:</th>\r\n			<td>Yes</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Material:</th>\r\n			<td>Polypropylene</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Unit Weight (lbs.):</th>\r\n			<td>2.9</td>\r\n		</tr>\r\n	</tbody>\r\n</table>",69817
Base Code:2936|Thread:Hygienic (Euro)|Color:Yellow|Length:51.4 in.|Width:1.25 in.|Weight:1.06 lbs.|Material:Fiberglass|Additional Material: Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72764/29366_1.jpg,2072764,"<p><br />\r\nThis standard broom handle can be used with all brooms, squeegees and scrapers. The handle with the attached item should reach to the chin of the user to prevent occupational back injuries.</p>\r\n\r\n<h5>Specifications</h5>\r\n\r\n<table class=""description-table"">\r\n	<tbody>\r\n		<tr>\r\n			<th>Length (inches):</th>\r\n			<td>51</td>\r\n		</tr>\r\n		<tr>\r\n			<th>FDA Compliant Raw Material:</th>\r\n			<td>Yes</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Material:</th>\r\n			<td>Fiberglass</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Other Material:</th>\r\n			<td>Polypropylene</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Unit Weight (lbs.):</th>\r\n			<td>1.1</td>\r\n		</tr>\r\n	</tbody>\r\n</table>",29366
"Base Code:7125|Color:White|Length:9.4 in.|Width:3.5 in.|Height:3.4 in.|Weight:0.45 lbs.|Material:Polypropylene, Rubber|Block Material: Polypropylene|Blade Material: Rubber|FDA Compliant Material:Yes|Working Temp:-4° F/-20° C|Autoclavable To:250° F/121° C|Brand:Vikan",product_images/20/72912/71255_1.jpg,2072912,"<p><br>Vikan's one-piece, single-blade squeegee has an ultra-hygienic design that minimizes areas for water and food soils to collect.This seamless, one-piece construction is especially effective in areas requiring the highest level of hygiene.The soft and flexible rubber  blade is ideal for removing water or food debris from floors and food contact surfaces.  Hygiene squeegees are a good foundation for any HACCP or food safety program.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>9.84</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene, Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.45</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Autoclavable:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Country of Origin:</th>\n                              <td>Denmark</td>\n																\n															</tr>\n                        \n														</table>",71255
Base Code:2922|Color:Green|Length:18.7 in.|Width:2.8 in.|Height:4.75 in.|Weight:1.59 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72992/29222_1.jpg,2072992,"<p><br>Bristles are set with resin. Used in high risk areas where concern for foreign body contamination from bristles is very high.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>18.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.9</td>\n																\n															</tr>\n                        \n														</table>",29222
Base Code:2914|Thread:Hygienic (Euro)|Color:White|Length:11.8 in.|Width:1.4 in.|Height:10.6 in.|Weight:1.01 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72980/29145_1.jpg,2072980,"<p><br>The angled design of this broom makes it easy to reach into narrow spaces between equipment when sweeping debris before the scrubbing action starts. It is particularly effective for collecting large particles of debris like meat and vegetables in a moist environment.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>11</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>PET</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1</td>\n																\n															</tr>\n                        \n														</table>",29145
Base Code:5688|Capacity1.5 Gallons|Color:Red|Length:10 in.|Width:9.6 in.|Height:7.1 in.|Weight:1.2 lbs.|Material:Polypropylene|Additional Material: Stainless Steel|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72844/56884_1.jpg,2072844,"<p><br>This is a durable 1.5 gallon pail that is suitable for cleaning or storage of ingredients and food stuff and is calibrated for a variety of measuring units. The pail has a wide drip-free spout, sturdy stainless steel hanger, hand grip at the bottom that is raised</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>9.69</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>10.12</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>10.04</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Stainless Steel</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.2</td>\n																\n															</tr>\n                        \n														</table>",56884
Base Code:4186|Color:Orange|Length:15.40 in.|Width:2.75 in.|Height:2.80 in.|Weight:0.53 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessStiff|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72920/41867_1.jpg,2072920,"The long handled wash brush allows you to reach into parts of equipment that are hard to access. The angled bristles are stiff, helping to scrub at a distance.",41867
Base Code:6880EB|Color:Orange|Length:36.5 in.|Width:10.1 in.|Height:1.7 in.|Weight:1.77 lbs.|FDA Compliant Material:No|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/72748/6880EBO_1.jpg,2072748,"<p><br />\r\nThis compact shovel is ideal for spill kit applications, as well as a wide variety of other uses. Constructed of injection-molded ABS plastic, it will not damage tires or truck beds. It is non-sparking, chemical and corrosion resistant, making it an excellent addition to spill kits. It collapses for easy storage in commercial trucks or vehicles&Atilde;&Acirc;&Atilde;&Acirc;&cent;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;&Atilde;&Acirc;or even your family car. Patent No. US 6,412,843 B1</p>\r\n\r\n<h5>Specifications</h5>\r\n\r\n<table class=""description-table"">\r\n	<tbody>\r\n		<tr>\r\n			<th>Width (inches):</th>\r\n			<td>11</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Length (inches):</th>\r\n			<td>13</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Height (inches):</th>\r\n			<td>36</td>\r\n		</tr>\r\n		<tr>\r\n			<th>FDA Compliant Raw Material:</th>\r\n			<td>No</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Blade Material:</th>\r\n			<td>ABS</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Unit Weight (lbs.):</th>\r\n			<td>2</td>\r\n		</tr>\r\n	</tbody>\r\n</table>",6880EBO
Base Code:2983|Thread:Hygienic (Euro)|Color:White|Length:40.3 in.|Width:1.25 in.|Weight:1.6 lbs.|Material:Stainless Steel|Additional Material: Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73064/29835_1.jpg,2073064,"<p><br>Stainless steel handle suitable for cleaning with the use of agressive chemicals and where the handle is exposed to a heavy-handed treatment.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>39.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Stainless Steel</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.5</td>\n																\n															</tr>\n                        \n														</table>",29835
